title,body,labels
"[Home] Update home page metadata to Grillers Pride branding","## Description
Current metadata shows ""Medusa Next.js Starter Template"" instead of Grillers Pride branding.

## Location
`src/app/[countryCode]/(main)/page.tsx:16-20`

## Current State
```typescript
export const metadata: Metadata = {
  title: ""Medusa Next.js Starter Template"",
  description: ""A performant frontend ecommerce starter template with Next.js 15 and Medusa."",
}
```

## Expected State
Update to Grillers Pride branding with appropriate title and description.

## Acceptance Criteria
- [ ] Title reflects Grillers Pride brand
- [ ] Description is customer-facing and SEO-optimized","bug,high-priority,home-page"
"[Home] Add hero CTA button component","## Description
Hero section only displays title. Add configurable CTA button from Strapi for primary conversion action.

## Location
`src/modules/home/components/hero/index.tsx`

## Requirements
- CTA button text configurable from Strapi
- CTA button link configurable from Strapi
- Button styling consistent with brand guidelines

## Acceptance Criteria
- [ ] CTA button renders below hero title
- [ ] Button text and link come from Strapi CMS
- [ ] Button is responsive on mobile","feature,medium-priority,home-page"
"[Home] Add newsletter signup section to home page","## Description
Per SOW email marketing requirements, add newsletter subscription component. No newsletter functionality exists currently.

## SOW Reference
> Email Marketing: Segmented campaigns and automation

## Requirements
- Email input field with validation
- Submit button
- Success/error state handling
- Integration with email marketing platform (Klaviyo, Mailchimp, etc.)

## Acceptance Criteria
- [ ] Newsletter signup form displays on home page
- [ ] Email validation works correctly
- [ ] Form submits to email marketing platform
- [ ] Success message displays after submission","feature,high-priority,home-page"
"[Home] Implement lazy loading for home page sections","## Description
Add intersection observer-based lazy loading for below-fold sections (testimonials, blog, follow-us) to improve initial page load performance.

## Sections to Lazy Load
- Testimonial Section
- Blog Explore Section
- Follow Us Section

## Acceptance Criteria
- [ ] Below-fold sections load when scrolled into view
- [ ] Loading skeletons display while content loads
- [ ] Core Web Vitals (LCP) improved","enhancement,medium-priority,home-page,performance"
"[Home] Add JSON-LD structured data for Organization","## Description
No structured data exists. Add Organization schema markup for rich search results.

## SOW Reference
> SEO Strategy: On-page and technical SEO

## Requirements
Add JSON-LD script with:
- Organization name
- Logo
- Contact information
- Social media profiles
- Address

## Acceptance Criteria
- [ ] Organization schema renders in page head
- [ ] Schema validates in Google Rich Results Test
- [ ] Includes all required Organization properties","seo,high-priority,home-page"
"[Home] Add accessibility improvements to hero section","## Description
Hero background image needs proper `role=""img""` and accessible text alternative. Currently uses inline `backgroundImage` style without accessibility attributes.

## Location
`src/modules/home/components/hero/index.tsx`

## SOW Reference
> ADA Compliance with WCAG 2.1 Level AA Standards

## Acceptance Criteria
- [ ] Hero has appropriate ARIA attributes
- [ ] Screen readers can understand the hero content
- [ ] Color contrast meets WCAG AA standards","accessibility,high-priority,home-page"
"[Header] Add mobile search bar","## Description
Search bar is hidden on mobile (`hidden md:block` at line 40 in header.tsx). Comment indicates ""Search bar for mobile"" at line 91 but not implemented.

## Location
`src/modules/layout/templates/nav/header.tsx:40-47, 91-92`

## Requirements
- Search icon in mobile header
- Expandable search input on tap
- Same Algolia functionality as desktop

## Acceptance Criteria
- [ ] Search is accessible on mobile devices
- [ ] Search results display correctly on mobile
- [ ] Search can be dismissed/closed","feature,high-priority,header"
"[Header] Add skip-to-main-content link for accessibility","## Description
WCAG 2.1 AA requires skip navigation link. Not present in current implementation.

## SOW Reference
> ADA Compliance with WCAG 2.1 Level AA Standards

## Requirements
- Visually hidden link that appears on focus
- Links to main content area
- First focusable element on page

## Acceptance Criteria
- [ ] Skip link is first focusable element
- [ ] Skip link visible when focused
- [ ] Skip link jumps to main content","accessibility,high-priority,header"
"[Header] Add announcement bar component","## Description
`announcement-bar.tsx` file exists but not integrated into main header. Implement for promotions/alerts.

## Location
`src/modules/layout/templates/nav/announcement-bar.tsx`

## Requirements
- Dismissible banner
- Content from Strapi CMS
- Optional link/CTA
- Configurable background color

## Acceptance Criteria
- [ ] Announcement bar displays above header
- [ ] Content is editable from Strapi
- [ ] Users can dismiss the banner
- [ ] Dismissed state persists in session","feature,medium-priority,header"
"[Header] Implement country/region selector in header","## Description
`country-select` component exists but not visible in header. Add for multi-region support.

## Location
`src/modules/layout/components/country-select/index.tsx`

## Requirements
- Display current region/country
- Dropdown to select different region
- Updates cart and pricing accordingly

## Acceptance Criteria
- [ ] Region selector visible in header
- [ ] Selecting region updates URL country code
- [ ] Cart and prices update to selected region","feature,medium-priority,header"
"[Header] Add keyboard navigation for dropdown menus","## Description
Desktop menu dropdowns use Headless UI but need explicit keyboard trap and focus management testing.

## SOW Reference
> ADA Compliance with WCAG 2.1 Level AA Standards

## Requirements
- Arrow key navigation within dropdowns
- Escape key closes dropdown
- Tab trapping within open menu
- Focus returns to trigger on close

## Acceptance Criteria
- [ ] All menu items reachable via keyboard
- [ ] Focus is properly managed
- [ ] Escape closes menus","accessibility,high-priority,header"
"[Header] Phone number should be clickable (tel: link)","## Description
Phone number at line 50-51 is plain text, should be a clickable tel: link.

## Location
`src/modules/layout/templates/nav/header.tsx:50-51`

## Current State
```tsx
<span className=""hidden md:inline-block..."">(888) 627-3284</span>
```

## Expected State
```tsx
<a href=""tel:+18886273284"" className=""..."">(888) 627-3284</a>
```

## Acceptance Criteria
- [ ] Phone number is clickable
- [ ] Opens phone app on mobile devices","enhancement,low-priority,header"
"[Footer] Replace Medusa branding with Grillers Pride","## Description
Footer shows ""Medusa Store"" and links to Medusa GitHub/docs. Update to Grillers Pride branding.

## Location
`src/modules/layout/templates/footer/index.tsx`

## Items to Update
- Line 23-24: ""Medusa Store"" text
- Lines 112-144: Medusa links section (GitHub, Documentation, Source code)
- Line 151: Copyright ""Medusa Store""

## Acceptance Criteria
- [ ] All Medusa references removed
- [ ] Grillers Pride branding throughout
- [ ] Relevant company links added","bug,critical,footer"
"[Footer] Add newsletter signup form","## Description
Per SOW email marketing requirements. Common footer placement for email capture.

## SOW Reference
> Email Marketing: Segmented campaigns and automation

## Requirements
- Email input with validation
- Subscribe button
- Privacy policy link
- Success/error states

## Acceptance Criteria
- [ ] Newsletter form in footer
- [ ] Form integrates with email platform
- [ ] GDPR-compliant with privacy link","feature,high-priority,footer"
"[Footer] Add social media links section","## Description
Footer should include Instagram, Facebook, Pinterest, TikTok links per SOW social media strategy.

## SOW Reference
> Social Media: Instagram, Facebook, Pinterest, TikTok

## Requirements
- Social media icons
- Links to Grillers Pride social profiles
- Icons from Strapi for flexibility

## Acceptance Criteria
- [ ] Social icons display in footer
- [ ] Links open in new tab
- [ ] Icons have accessible labels","feature,medium-priority,footer"
"[Footer] Add Strapi-driven footer content","## Description
Footer content (contact info, policies, about) should come from Strapi CMS for admin editability.

## Requirements
- Footer links from Strapi
- Contact information from Strapi
- Policy pages links (Privacy, Terms, etc.)

## Acceptance Criteria
- [ ] Footer content editable in Strapi
- [ ] Changes reflect without code deployment","feature,medium-priority,footer"
