RateID,ZoneID,ZoneCode,ZoneDesc,State,UpperBreakPoint,BreakPointType,Rate,RateType
1,5,Del - Dallas,Consolidated Dallas Shipment Shipping Charge,TX,0.00,,10.00,Percent
3,6,Del - Greenville,"Scheduled Delivery - Greenville, SC",SC,0.00,,20.00,Amount
4,7,Del - Spartanburg,"Scheduled Delivery - Spartanburg, SC",SC,0.00,,20.00,Amount
5,8,Del - Charlotte,"Scheduled Delivery - Charlotte, NC",NC,0.00,,20.00,Amount
6,9,Del - Greensboro,"Scheduled Delivery - Greensboro, NC",NC,0.00,,20.00,Amount
7,10,Del - Durham,"Scheduled Delivery - Durham, NC",NC,0.00,,20.00,Amount
8,11,Del - Augusta,"Scheduled Delivery - Augusta, GA",GA,0.00,,20.00,Amount
9,12,Del - Columbia,"Scheduled Delivery - Columbia, SC",SC,0.00,,20.00,Amount
10,13,Del - Charleston,"Scheduled Delivery - Charleston, SC",SC,0.00,,20.00,Amount
11,14,Del - Macon,"Scheduled Delivery - Macon, GA",GA,0.00,,20.00,Amount
12,15,Del - Savannah,"Scheduled Delivery - Savannah, GA",GA,0.00,,20.00,Amount
13,16,Del - Jacksonville,"Scheduled Delivery - Jacksonville, FL",FL,0.00,,20.00,Amount
14,17,Del - GainesvilleFL,"Scheduled Delivery - Gainesville, FL",FL,0.00,,20.00,Amount
15,18,Del - Birmingham,"Scheduled Delivery - Birmingham, AL",AL,0.00,,20.00,Amount
16,19,Del - Memphis,"Scheduled Delivery - Memphis, TN",TN,0.00,,20.00,Amount
17,20,Del - Nashville,"Scheduled Delivery - Nashville, TN",TN,0.00,,20.00,Amount
18,21,Del - Knoxville,"Scheduled Delivery - Knoxville, TN",TN,0.00,,20.00,Amount
19,22,Del - Chattanooga,"Scheduled Delivery - Chattanooga, TN",TN,0.00,,20.00,Amount
20,23,,,,50.00,,35.00,Amount
21,23,,,,100.00,,32.50,Amount
23,23,,,,150.00,,30.00,Amount
24,24,,,,50.00,,25.00,Amount
25,24,,,,75.00,,22.50,Amount
26,24,,,,100.00,,20.00,Amount
27,24,,,,150.00,,17.50,Amount
28,25,Del-30009,Metro Atlanta Delivery - Zip Code 30009,GA,50.00,,27.50,Amount
29,25,Del-30009,Metro Atlanta Delivery - Zip Code 30009,GA,100.00,,25.00,Amount
30,25,Del-30009,Metro Atlanta Delivery - Zip Code 30009,GA,150.00,,22.50,Amount
32,26,FedexGround,FedEx Ground Estimated Shipping Charge (Minimum $40 for up to $200 product value),GA,0.00,,40.00,Amount
33,27,FedexOvernight,FedEx Overnight Estimated Shipping Charge (Minimum $160 for up to $200 product value),,0.00,,160.00,Amount
34,28,Pick Up From Plant,"Pickup From Plant Premises in Atlanta, GA",,150.00,,-7.50,Amount
35,23,,,,0.00,,32.50,Amount
36,24,,,,0.00,,27.50,Amount
37,25,Del-30009,Metro Atlanta Delivery - Zip Code 30009,GA,0.00,,30.00,Amount
38,29,Del-30062,Metro Atlanta Delivery - Zip Code 30062,GA,0.00,,17.50,Amount
39,29,Del-30062,Metro Atlanta Delivery - Zip Code 30062,GA,50.00,,15.00,Amount
41,29,Del-30062,Metro Atlanta Delivery - Zip Code 30062,GA,100.00,,12.50,Amount
