county_name,combined_rate,state_rate,county_rate,special_rate
Appling,8.0,4.0,4.0,0.0
Atkinson,8.0,4.0,4.0,0.0
Bacon,8.0,4.0,4.0,0.0
Baker,8.0,4.0,4.0,0.0
Baldwin,8.0,4.0,4.0,0.0
Banks,9.0,4.0,5.0,0.0
Barrow,8.0,4.0,4.0,0.0
Bartow,7.0,4.0,3.0,0.0
Ben Hill,8.0,4.0,4.0,0.0
Berrien,9.0,4.0,5.0,0.0
Bibb,7.0,4.0,3.0,0.0
Bleckley,8.0,4.0,4.0,0.0
Brantley,8.0,4.0,4.0,0.0
Brooks,8.0,4.0,4.0,0.0
Bryan,9.0,4.0,5.0,0.0
Bulloch,9.0,4.0,5.0,0.0
Burke,7.0,4.0,3.0,0.0
Butts,8.0,4.0,4.0,0.0
Calhoun,8.0,4.0,4.0,0.0
Camden,7.0,4.0,3.0,0.0
Candler,9.0,4.0,5.0,0.0
Carroll,7.0,4.0,3.0,0.0
Catoosa,7.0,4.0,3.0,0.0
Charlton,7.0,4.0,3.0,0.0
Chatham,7.0,4.0,3.0,0.0
Chattahoochee,9.0,4.0,5.0,0.0
Chattooga,8.0,4.0,4.0,0.0
Cherokee,6.0,4.0,2.0,0.0
Clarke,8.0,4.0,4.0,0.0
Clay,9.0,4.0,5.0,0.0
Clayton,8.0,4.0,4.0,0.0
Clinch,7.0,4.0,3.0,0.0
Cobb,6.0,4.0,2.0,0.0
Coffee,8.0,4.0,4.0,0.0
Colquitt,9.0,4.0,5.0,0.0
Columbia,8.0,4.0,4.0,0.0
Cook,9.0,4.0,5.0,0.0
Coweta,8.0,4.0,4.0,0.0
Crawford,7.0,4.0,3.0,0.0
Crisp,8.0,4.0,4.0,0.0
Dade,7.0,4.0,3.0,0.0
Dawson,8.0,4.0,4.0,0.0
Decatur,9.0,4.0,5.0,0.0
DeKalb,8.0,4.0,4.0,0.0
Dodge,8.0,4.0,4.0,0.0
Dooly,8.0,4.0,4.0,0.0
Dougherty,8.0,4.0,4.0,0.0
Douglas,7.0,4.0,3.0,0.0
Early,8.0,4.0,4.0,0.0
Echols,8.0,4.0,4.0,0.0
Effingham,8.0,4.0,4.0,0.0
Elbert,9.0,4.0,5.0,0.0
Emanuel,9.0,4.0,5.0,0.0
Evans,9.0,4.0,5.0,0.0
Fannin,7.0,4.0,3.0,0.0
Fayette,7.0,4.0,3.0,0.0
Floyd,7.0,4.0,3.0,0.0
Forsyth,7.0,4.0,3.0,0.0
Franklin,7.0,4.0,3.0,0.0
Fulton,7.75,4.0,3.75,0.0
Gilmer,7.0,4.0,3.0,0.0
Glascock,8.0,4.0,4.0,0.0
Glynn,7.0,4.0,3.0,0.0
Gordon,8.0,4.0,4.0,0.0
Grady,8.0,4.0,4.0,0.0
Greene,8.0,4.0,4.0,0.0
Gwinnett,6.0,4.0,2.0,0.0
Habersham,7.0,4.0,3.0,0.0
Hall,7.0,4.0,3.0,0.0
Hancock,8.0,4.0,4.0,0.0
Haralson,8.0,4.0,4.0,0.0
Harris,8.0,4.0,4.0,0.0
Hart,7.0,4.0,3.0,0.0
Heard,7.0,4.0,3.0,0.0
Henry,8.0,4.0,4.0,0.0
Houston,7.0,4.0,3.0,0.0
Irwin,8.0,4.0,4.0,0.0
Jackson,7.0,4.0,3.0,0.0
Jasper,8.0,4.0,4.0,0.0
Jeff Davis,8.0,4.0,4.0,0.0
Jefferson,9.0,4.0,5.0,0.0
Jenkins,8.0,4.0,4.0,0.0
Johnson,8.0,4.0,4.0,0.0
Jones,7.0,4.0,3.0,0.0
Lamar,9.0,4.0,5.0,0.0
Lanier,8.0,4.0,4.0,0.0
Laurens,8.0,4.0,4.0,0.0
Lee,8.0,4.0,4.0,0.0
Liberty,8.0,4.0,4.0,0.0
Lincoln,9.0,4.0,5.0,0.0
Long,9.0,4.0,5.0,0.0
Lowndes,8.0,4.0,4.0,0.0
Lumpkin,8.0,4.0,4.0,0.0
Macon,8.0,4.0,4.0,0.0
Madison,8.0,4.0,4.0,0.0
Marion,8.0,4.0,4.0,0.0
McDuffie,9.0,4.0,5.0,0.0
McIntosh,7.0,4.0,3.0,0.0
Meriwether,8.0,4.0,4.0,0.0
Miller,9.0,4.0,5.0,0.0
Mitchell,8.0,4.0,4.0,0.0
Monroe,7.0,4.0,3.0,0.0
Montgomery,8.0,4.0,4.0,0.0
Morgan,8.0,4.0,4.0,0.0
Murray,9.0,4.0,5.0,0.0
Muscogee,9.0,4.0,5.0,0.0
Newton,7.0,4.0,3.0,0.0
Oconee,8.0,4.0,4.0,0.0
Oglethorpe,9.0,4.0,5.0,0.0
Paulding,7.0,4.0,3.0,0.0
Peach,9.0,4.0,5.0,0.0
Pickens,7.0,4.0,3.0,0.0
Pierce,8.0,4.0,4.0,0.0
Pike,7.0,4.0,3.0,0.0
Polk,7.0,4.0,3.0,0.0
Pulaski,8.0,4.0,4.0,0.0
Putnam,7.0,4.0,3.0,0.0
Quitman,8.0,4.0,4.0,0.0
Rabun,7.0,4.0,3.0,0.0
Randolph,8.0,4.0,4.0,0.0
Richmond,8.5,4.0,4.5,0.0
Rockdale,7.0,4.0,3.0,0.0
Schley,9.0,4.0,5.0,0.0
Screven,8.0,4.0,4.0,0.0
Seminole,8.0,4.0,4.0,0.0
Spalding,7.0,4.0,3.0,0.0
Stephens,7.0,4.0,3.0,0.0
Stewart,8.0,4.0,4.0,0.0
Sumter,8.0,4.0,4.0,0.0
Talbot,8.0,4.0,4.0,0.0
Taliaferro,8.0,4.0,4.0,0.0
Tattnall,8.0,4.0,4.0,0.0
Taylor,8.0,4.0,4.0,0.0
Telfair,8.0,4.0,4.0,0.0
Terrell,8.0,4.0,4.0,0.0
Thomas,8.0,4.0,4.0,0.0
Tift,8.0,4.0,4.0,0.0
Toombs,8.0,4.0,4.0,0.0
Towns,8.0,4.0,4.0,0.0
Treutlen,8.0,4.0,4.0,0.0
Troup,7.0,4.0,3.0,0.0
Turner,9.0,4.0,5.0,0.0
Twiggs,8.0,4.0,4.0,0.0
Union,7.0,4.0,3.0,0.0
Upson,9.0,4.0,5.0,0.0
Walker,8.0,4.0,4.0,0.0
Walton,7.0,4.0,3.0,0.0
Ware,8.0,4.0,4.0,0.0
Warren,9.0,4.0,5.0,0.0
Washington,9.0,4.0,5.0,0.0
Wayne,8.0,4.0,4.0,0.0
Webster,8.0,4.0,4.0,0.0
Wheeler,8.0,4.0,4.0,0.0
White,8.0,4.0,4.0,0.0
Whitfield,7.0,4.0,3.0,0.0
Wilcox,8.0,4.0,4.0,0.0
Wilkes,9.0,4.0,5.0,0.0
Wilkinson,7.0,4.0,3.0,0.0
Worth,8.0,4.0,4.0,0.0
